World,PIK,其他,CO2,MtCO?e,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0
World,PIK,能源,CO2,MtCO?e,5450,4950,4590,5400,5400,5220,5190,5060,4650,4400,4650,4350,3980,3790,3490,3320,3650,4070,4380,4080,4100,3760,3810,3780,3770,3310,3150,3590,3100,3560,3600,3440,3190,3220,3530,3260,3110,3060,2920,2800,2910,2570,2450,2300,2270,2080,2030,1960,1860,1700,1620,1540,1490,1410,1360,1380,1370,1310,1200,1200,1080,1030,1010,1010,996,937,886,857,759,708,705,691,682,629,671,631,571,537,525,495,481,449,435,410,381,357,351,334,305,287,284,281,263,259,221,211,202,199
World,PIK,工业过程,CO2,MtCO?e,531,491,446,422,411,402,388,374,377,375,377,378,375,377,377,384,399,410,414,411,401,383,382,381,380,377,375,376,375,375,379,380,380,382,383,383,383,384,383,382,383,383,382,381,382,382,381,381,380,380,381,381,381,382,382,382,382,383,372,408,338,316,300,295,280,259,231,219,193,161,164,150,152,149,155,141,117,112,106,93.8,84.4,70.3,69.3,68.4,64,56.1,54,54.9,52.2,48.2,47.4,46.1,43.8,38.5,34.9,31.2,28.7,23.7
World,PIK,农业,CO2,MtCO?e,13.4,12.2,10.6,14.2,14.7,13.9,14.2,14.2,12.4,11.7,11.9,10.8,10,9.44,8.7,8.25,9.04,9.89,10.7,9.81,9.75,8.93,8.81,8.71,8.28,7.66,7.41,7.99,6.49,8.08,8.57,8.38,7.81,8.09,9.14,8.53,7.98,7.77,7.47,7.29,7.29,6.5,6.12,5.79,5.66,5.27,5.19,4.98,4.73,4.39,4.14,3.93,3.77,3.54,3.45,3.38,3.35,3.2,2.94,2.85,2.59,2.48,2.42,2.36,2.3,2.15,2.03,1.97,1.78,1.66,1.61,1.59,1.47,1.36,1.42,1.33,1.2,1.11,1.07,1.01,0.96,0.88,0.85,0.79,0.72,0.67,0.63,0.58,0.54,0.53,0.51,0.49,0.46,0.43,0.37,0.35,0.32,0.31
World,PIK,浪费,CO2,MtCO?e,5.01,4.21,4.42,6.51,7.32,7.16,7.47,7.63,6.96,7.05,6.97,6.43,6.03,5.87,5.44,4.95,5.23,5.73,6.07,5.71,5.75,5.09,5.42,5.34,5.03,4.67,4.16,4.74,4.42,4.29,4.34,4,3.69,3.97,4.33,3.97,3.82,3.58,3.52,3.47,3.37,3.17,2.95,2.88,2.79,2.65,2.61,2.52,2.37,2.28,2.12,2.03,1.96,1.9,1.69,1.75,1.76,1.7,1.6,1.52,1.44,1.36,1.36,1.37,1.4,1.33,1.29,1.25,1.13,1.09,1.07,1.08,1.07,1,1.02,0.96,0.86,0.83,0.86,0.82,0.82,0.8,0.76,0.72,0.67,0.65,0.64,0.6,0.55,0.52,0.52,0.52,0.49,0.48,0.41,0.38,0.37,0.38
World,PIK,总计,CO2,MtCO?e,6000,5460,5050,5840,5830,5640,5600,5450,5050,4790,5050,4750,4370,4180,3890,3720,4070,4490,4820,4510,4510,4150,4210,4170,4160,3700,3540,3980,3490,3950,3990,3830,3580,3610,3930,3660,3510,3450,3310,3190,3300,2970,2840,2690,2660,2470,2420,2350,2250,2090,2000,1930,1880,1800,1750,1770,1750,1690,1570,1610,1420,1350,1320,1310,1280,1200,1120,1080,955,871,872,843,836,781,829,775,690,650,633,590,567,521,506,480,446,414,406,390,358,337,332,328,308,298,256,243,231,224
