World,PIK,农业,KYOTOGHG,MtCO?e,2500,2390,2270,2160,2060,1970,1910,1880,1870,1860,1860,1860,1860,1860,1860,1850,1850,1850,1840,1820,1800,1780,1760,1740,1710,1690,1670,1650,1620,1600,1570,1540,1500,1470,1440,1420,1390,1380,1370,1360,1360,1350,1340,1340,1330,1320,1320,1310,1300,1290,1280,1270,1250,1240,1220,1200,1180,1170,1170,1150,1140,1130,1120,1100,1090,1080,1060,1050,1030,1010,991,969,946,923,901,881,862,846,832,817,803,788,774,759,744,729,714,699,684,668,653,637,620,604,587,570,554,537
World,PIK,能源,KYOTOGHG,MtCO?e,6450,5930,5550,6340,6330,6130,6090,5950,5530,5270,5510,5190,4800,4600,4290,4100,4430,4840,5150,4840,4850,4510,4560,4520,4520,4060,3900,4330,3840,4290,4320,4150,3890,3910,4210,3930,3760,3690,3530,3390,3480,3110,2960,2780,2730,2510,2440,2350,2230,2060,1960,1870,1810,1710,1650,1650,1630,1560,1420,1420,1300,1240,1220,1210,1190,1120,1070,1030,929,873,864,844,829,771,808,763,697,659,644,609,592,555,538,510,477,450,441,422,391,371,365,361,341,335,296,285,276,273
World,PIK,其他,KYOTOGHG,MtCO?e,75.2,74.4,73.6,72.9,72.1,71.3,70.5,69.8,69,68.2,67.4,66.7,65.9,65.1,64.3,63.6,62.8,62,61.2,60.5,59.7,58.9,58.1,57.4,56.6,55.8,55,54.3,53.5,52.7,51.9,51.2,50.4,49.6,48.8,48.1,47.3,46.5,45.7,45,44.2,43.4,42.6,41.9,41.1,40.3,39.5,38.8,38,37.2,36.4,35.7,34.9,34.1,33.3,32.6,31.8,31,30.2,29.5,28.7,27.9,27.1,26.4,25.6,24.8,24,23.3,22.5,21.7,20.9,20.2,19.4,18.6,17.8,17.1,16.3,15.5,14.7,14,13.2,12.4,11.6,10.9,10.1,9.3,8.53,7.75,6.98,6.2,5.43,4.65,3.88,3.1,2.33,1.55,0.78,0
World,PIK,浪费,KYOTOGHG,MtCO?e,464,447,430,416,402,388,376,366,357,349,340,332,324,317,310,303,297,292,286,280,274,268,263,257,252,247,241,237,233,229,225,220,216,212,209,205,201,197,194,190,187,183,180,177,174,171,168,165,162,159,157,154,152,149,147,145,143,141,137,136,134,133,131,130,129,127,126,125,123,122,120,118,117,115,114,112,111,110,109,108,107,107,106,105,104,104,103,102,101,100,99.6,98.8,98,97.2,96.3,95.4,94.6,93.8
World,PIK,总计,KYOTOGHG,MtCO?e,10100,9420,8850,9490,9340,9030,8890,8690,8260,7970,8200,7870,7460,7260,6940,6740,7070,7480,7780,7440,7420,7020,7040,6970,6930,6430,6240,6650,6130,6550,6550,6340,6040,6030,6290,5980,5790,5700,5530,5380,5450,5080,4910,4720,4660,4430,4340,4250,4120,3930,3810,3710,3630,3510,3430,3420,3370,3280,3130,3150,2940,2850,2790,2760,2710,2610,2510,2450,2300,2190,2160,2100,2060,1980,2000,1910,1800,1740,1710,1640,1600,1530,1500,1450,1400,1350,1320,1290,1240,1190,1170,1150,1110,1080,1020,984,953,927
World,PIK,工业过程,KYOTOGHG,MtCO?e,620,575,525,497,482,469,451,433,432,426,425,423,417,416,414,419,432,442,444,439,426,404,400,395,390,384,380,381,379,379,383,384,384,385,387,386,387,387,386,385,385,386,385,384,384,384,383,383,381,382,382,382,382,382,383,383,383,383,372,408,338,316,300,295,280,259,232,220,194,161,164,150,152,149,156,141,117,112,106,94,84.5,70.4,69.5,68.6,64.1,56.3,54.1,55,52.3,48.4,47.5,46.2,43.9,38.6,35,31.3,28.8,23.8
