Thailand,17.47 ,16.87
Philippines,10.52 ,14.54
Mexico,1.05 ,7.47
Fiji,18.26 ,7.18
Greece,5.11 ,5.81
Mauritius,1.71 ,5.48
Colombia,2.34 ,5.31
China,4.88 ,5.22
