240270,239320,243790,246930,254050,256310,263110,257030,253680,251940,250740,245930,246970,254100,255130,257270,262530,269780,254910,247170,254200,263870,256760,259850,261330,259910,266430,265710,267270,264950
58120,57220,51990,47970,48550,46850,47710,47070,46830,37060,36050,34650,32630,32230,33130,31970,30910,30950,30790,28480,29010,28050,27660,27670,28470,28360,28100,28370,28130,28370
295770,303320,309200,301010,314550,358190,384120,356010,364990,380660,375420,377910,396770,400790,416780,427310,440230,449070,464320,475730,488160,497300,509380,522600,534100,549330,552360,548720,544840,552060
145180,149330,153480,157020,162730,166240,171220,176430,180340,183380,180080,184240,178250,185440,192090,201730,211310,220830,225510,230500,239140,247020,245260,245550,248290,252300,251100,255810,262510,260170
105590,99750,91050,83090,69730,64560,61060,56720,52380,50370,51670,54340,54270,55000,50790,50750,50940,51980,56580,54980,53340,56050,54920,55230,57350,57100,59570,60310,60930,61740
27620,26940,27260,27210,28690,28450,29430,29930,28440,22230,24860,21620,21650,21750,22340,21970,21860,20860,20620,20270,20080,19300,18760,19340,19260,18720,18750,18880,18800,18700
